Site,month,year,mean
Great Bay,Jul,1995,25.56417708
Great Bay,Aug,1995,29.6667168
Great Bay,Sep,1995,32.09739202
Great Bay,Oct,1995,30.44902859
Great Bay,Nov,1995,16.10447958
Great Bay,Dec,1995,NA
Great Bay,Jan,1996,NA
Great Bay,Feb,1996,NA
Great Bay,Mar,1996,NA
Great Bay,Apr,1996,18.27912326
Great Bay,May,1996,15.25996664
Great Bay,Jun,1996,21.90771458
Great Bay,Jul,1996,22.41614333
Great Bay,Aug,1996,25.79507166
Great Bay,Sep,1996,27.751875
Great Bay,Oct,1996,21.51550666
Great Bay,Nov,1996,20.42221759
Great Bay,Dec,1996,NA
Great Bay,Jan,1997,NA
Great Bay,Feb,1997,NA
Great Bay,Mar,1997,NA
Great Bay,Apr,1997,11.05701885
Great Bay,May,1997,17.69450461
Great Bay,Jun,1997,23.17583369
Great Bay,Jul,1997,24.7996703
Great Bay,Aug,1997,27.29472319
Great Bay,Sep,1997,26.46340424
Great Bay,Oct,1997,27.29055985
Great Bay,Nov,1997,22.98346678
Great Bay,Dec,1997,NA
Great Bay,Jan,1998,NA
Great Bay,Feb,1998,NA
Great Bay,Mar,1998,NA
Great Bay,Apr,1998,18.64765625
Great Bay,May,1998,16.24364308
Great Bay,Jun,1998,14.28405172
Great Bay,Jul,1998,19.87479507
Great Bay,Aug,1998,28.14745846
Great Bay,Sep,1998,29.86176932
Great Bay,Oct,1998,26.04664979
Great Bay,Nov,1998,26.49522024
Great Bay,Dec,1998,NA
Great Bay,Jan,1999,NA
Great Bay,Feb,1999,NA
Great Bay,Mar,1999,NA
Great Bay,Apr,1999,21.98114815
Great Bay,May,1999,22.81242716
Great Bay,Jun,1999,28.56706349
Great Bay,Jul,1999,29.26051962
Great Bay,Aug,1999,29.93991935
Great Bay,Sep,1999,24.13465278
Great Bay,Oct,1999,21.79805263
Great Bay,Nov,1999,21.60593651
Great Bay,Dec,1999,19.8999328
Great Bay,Jan,2000,NA
Great Bay,Feb,2000,NA
Great Bay,Mar,2000,NA
Great Bay,Apr,2000,7.0415
Great Bay,May,2000,16.28581989
Great Bay,Jun,2000,20.81400816
Great Bay,Jul,2000,26.47645609
Great Bay,Aug,2000,24.51065494
Great Bay,Sep,2000,26.70486111
Great Bay,Oct,2000,25.16838235
Great Bay,Nov,2000,21.981625
Great Bay,Dec,2000,20.23
Great Bay,Jan,2001,NA
