"Site","month","year","mean_salinity"
"Great Bay","May",1996,15.25996664
"Great Bay","Jun",1996,21.90771458
"Great Bay","Jul",1996,22.41614333
"Great Bay","Aug",1996,25.79507166
"Great Bay","May",1997,17.69450461
"Great Bay","Jun",1997,23.17583369
"Great Bay","Jul",1997,24.7996703
"Great Bay","Aug",1997,27.29472319
"Great Bay","May",1998,16.24364308
"Great Bay","Jun",1998,14.28405172
"Great Bay","Jul",1998,19.87479507
"Great Bay","Aug",1998,28.14745846
"Great Bay","May",1999,22.81242716
"Great Bay","Jun",1999,28.56706349
"Great Bay","Jul",1999,29.26051962
"Great Bay","Aug",1999,29.93991935
"Great Bay","May",2000,16.28581989
"Great Bay","Jun",2000,20.81400816
"Great Bay","Jul",2000,26.47645609
"Great Bay","Aug",2000,24.51065494
"Great Bay","May",2001,23.13048077
"Great Bay","Jun",2001,22.77923611
"Great Bay","Jul",2001,27.01626344
"Great Bay","Aug",2001,30.21659946
"Great Bay","May",2002,18.26543816
"Great Bay","Jun",2002,21.19868056
"Great Bay","Jul",2002,29.30476894
"Great Bay","Aug",2002,34.08356227
"Great Bay","May",2003,20.34905341
"Great Bay","Jun",2003,21.93084993
"Great Bay","Jul",2003,28.2472961
"Great Bay","Aug",2003,28.17633798
"Great Bay","May",2004,17.50053763
"Great Bay","Jun",2004,21.83844575
"Great Bay","Jul",2004,28.24078947
"Great Bay","Aug",2004,28.15618339
"Great Bay","May",2005,15.08447724
"Great Bay","Jun",2005,18.07330083
"Great Bay","Jul",2005,23.46942204
"Great Bay","Aug",2005,29.02278226
"Great Bay","May",2006,12.92399194
"Great Bay","Jun",2006,13.28391992
"Great Bay","Jul",2006,22.26297043
"Great Bay","Aug",2006,23.65168011
"Great Bay","May",2007,13.20297619
"Great Bay","Jun",2007,8.733333333
"Great Bay","May",2008,19.38294053
"Great Bay","Jul",2008,26.19050275
"Great Bay","May",2010,21.92248019
"Great Bay","Jun",2010,23.04227427
"Great Bay","Jul",2010,25.80864835
"Great Bay","Aug",2010,24.42287037
"Great Bay","May",2011,16.99547917
"Great Bay","Jun",2011,21.08370192
"Great Bay","May",2013,23.75285618
"Great Bay","Jun",2013,18.72944444
"Great Bay","Jul",2013,19.18313919
"Great Bay","Aug",2013,28.05780687
"Great Bay","May",2014,21.79777648
"Great Bay","Jun",2014,25.533125
"Great Bay","Jul",2014,25.64000846
"Great Bay","Aug",2014,25.50113982
